no,name,kor,eng,math,total,avg,rank,sdate
474,Shae,9,79,15,103,34.3333333333,2,2023-12-10
475,Tybi,2,65,48,115,38.3333333333,1,2024-04-16
476,Meg,51,90,10,151,50.3333333333,54,2024-07-29
477,Jewelle,11,37,44,92,30.6666666667,75,2023-11-30
478,Domingo,40,14,16,70,23.3333333333,36,2024-06-21
479,Marielle,8,89,49,146,48.6666666667,23,2024-04-08
480,Andrey,99,7,28,134,44.6666666667,5,2024-09-06
481,Archambault,85,100,27,212,70.6666666667,78,2023-12-26
482,Charmane,91,80,21,192,64,92,2024-08-31
483,Sharity,50,99,76,225,75,59,2024-03-01
484,Erek,71,47,18,136,45.3333333333,4,2024-07-13
485,Jeanine,93,82,51,226,75.3333333333,10,2024-01-23
486,Tad,6,39,51,96,32,96,2024-09-27
487,Carolee,3,44,68,115,38.3333333333,35,2024-06-19
488,Geoff,71,80,69,220,73.3333333333,21,2024-02-29
489,Maurise,76,40,95,211,70.3333333333,5,2024-04-29
490,Alessandra,4,86,49,139,46.3333333333,30,2024-06-14
491,Ronalda,14,31,15,60,20,18,2024-07-21
492,Alfonso,41,86,98,225,75,62,2024-02-08
493,Benson,9,59,13,81,27,44,2024-02-29
494,Brianne,66,9,31,106,35.3333333333,49,2024-03-27
495,Bobbi,34,96,17,147,49,46,2024-02-21
496,Greggory,68,7,60,135,45,35,2024-09-28
497,Genevra,62,4,44,110,36.6666666667,57,2024-05-08
498,Alwin,3,70,70,143,47.6666666667,47,2024-03-14
499,Micky,64,99,51,214,71.3333333333,43,2024-04-03
500,Sonnie,86,45,43,174,58,9,2024-04-07
501,Kip,77,83,68,228,76,75,2024-04-27
502,Errick,96,69,32,197,65.6666666667,98,2024-01-10
503,Livvie,51,26,18,95,31.6666666667,4,2024-04-25
504,Anna-diane,54,29,9,92,30.6666666667,43,2024-10-24
505,Sidnee,53,93,79,225,75,7,2023-12-31
506,Arleen,98,84,42,224,74.6666666667,20,2024-01-01
507,Louise,34,88,44,166,55.3333333333,81,2024-07-25
508,Barty,94,37,54,185,61.6666666667,83,2024-10-11
509,Corbin,7,19,55,81,27,81,2023-12-04
510,Eberto,54,93,12,159,53,4,2023-12-26
511,Grace,45,49,84,178,59.3333333333,65,2023-12-19
512,Roxie,87,62,16,165,55,67,2024-09-17
513,Kariotta,41,92,32,165,55,83,2024-08-12
514,Nelson,89,60,21,170,56.6666666667,90,2024-03-11
515,Dixie,71,73,50,194,64.6666666667,32,2024-08-03
516,Bradley,75,45,62,182,60.6666666667,40,2024-06-09
517,Carlin,39,54,4,97,32.3333333333,85,2024-07-28
518,Cymbre,67,32,91,190,63.3333333333,20,2024-01-13
519,Jordana,53,56,4,113,37.6666666667,21,2024-06-01
520,Daisie,17,31,99,147,49,8,2024-06-22
521,Dyanna,20,94,35,149,49.6666666667,75,2024-06-29
522,Mahmoud,81,69,39,189,63,25,2024-03-08
523,Raddie,65,39,89,193,64.3333333333,46,2024-04-25
524,Rem,81,40,57,178,59.3333333333,46,2024-10-29
525,Lulu,18,90,81,189,63,7,2024-06-17
526,Teresina,40,61,9,110,36.6666666667,24,2024-04-04
527,Ozzie,13,77,68,158,52.6666666667,63,2024-08-26
528,Isaiah,3,52,5,60,20,72,2024-06-13
529,Carine,93,73,78,244,81.3333333333,38,2024-08-01
530,Janetta,69,83,51,203,67.6666666667,23,2024-08-29
531,Krishna,29,82,59,170,56.6666666667,52,2024-03-22
532,Morgan,10,15,88,113,37.6666666667,30,2024-03-06
533,Thane,99,57,29,185,61.6666666667,33,2024-02-05
534,Gibby,60,47,79,186,62,74,2024-09-18
535,Pennie,45,62,43,150,50,50,2024-01-07
536,Efren,96,93,61,250,83.3333333333,63,2024-07-06
537,Cicily,25,94,83,202,67.3333333333,43,2023-11-10
538,Dode,4,85,31,120,40,54,2024-10-09
539,Maddalena,69,66,22,157,52.3333333333,3,2024-10-22
540,Karol,34,95,62,191,63.6666666667,37,2024-03-08
541,Mackenzie,57,44,1,102,34,62,2023-11-17
542,Ophelie,41,8,58,107,35.6666666667,28,2024-09-06
543,Roda,88,51,95,234,78,31,2024-07-08
544,Daveta,97,51,37,185,61.6666666667,21,2023-12-20
545,Parsifal,8,80,60,148,49.3333333333,85,2024-09-27
546,Jasun,59,42,4,105,35,88,2024-09-23
547,Rubina,53,35,98,186,62,88,2024-01-01
548,Koenraad,36,44,17,97,32.3333333333,54,2024-08-29
549,Scarlet,67,19,68,154,51.3333333333,26,2024-07-01
550,Lise,21,33,78,132,44,33,2024-01-16
551,Nani,62,62,12,136,45.3333333333,70,2024-01-07
552,Skipton,26,11,99,136,45.3333333333,32,2024-06-14
553,Charil,73,21,30,124,41.3333333333,39,2024-08-30
554,Tiff,4,60,10,74,24.6666666667,79,2024-03-09
555,Yulma,12,51,94,157,52.3333333333,87,2024-07-20
556,Libby,21,83,25,129,43,39,2023-12-29
557,Dukey,3,80,21,104,34.6666666667,33,2024-08-08
558,Rutherford,63,51,94,208,69.3333333333,71,2024-09-24
559,Collie,58,94,90,242,80.6666666667,78,2024-08-28
560,Sergei,28,58,48,134,44.6666666667,73,2024-10-01
561,Travers,73,26,14,113,37.6666666667,74,2024-02-19
562,Costanza,24,78,70,172,57.3333333333,53,2023-12-30
563,Lillian,96,68,81,245,81.6666666667,57,2024-10-26
564,Nadeen,4,30,65,99,33,23,2024-03-12
565,Joletta,86,57,25,168,56,83,2024-05-25
566,Dalt,41,82,71,194,64.6666666667,49,2024-11-04
567,Chandal,84,18,61,163,54.3333333333,86,2024-03-09
568,Emili,24,61,30,115,38.3333333333,66,2024-03-03
569,Karee,58,55,73,186,62,51,2024-10-15
570,Ella,39,11,29,79,26.3333333333,21,2024-03-29
571,Melly,30,6,55,91,30.3333333333,66,2024-05-11
572,Hendrika,40,92,67,199,66.3333333333,21,2024-07-19
573,Rodolph,56,19,90,165,55,66,2024-02-07
574,Carree,79,38,32,149,49.6666666667,17,2023-12-12
575,Rubin,54,46,35,135,45,33,2024-02-29
576,Lewes,26,73,24,123,41,16,2024-03-06
577,Meade,85,53,89,227,75.6666666667,57,2024-03-15
578,Rey,46,9,43,98,32.6666666667,77,2024-06-08
579,Stuart,35,5,24,64,21.3333333333,91,2023-12-23
580,Briana,21,95,22,138,46,21,2024-10-10
581,Marthena,35,2,53,90,30,6,2024-11-03
582,Amelita,52,33,23,108,36,66,2023-11-12
583,Venita,61,27,66,154,51.3333333333,16,2024-04-29
584,Clement,43,28,13,84,28,27,2024-03-18
585,Herb,3,18,35,56,18.6666666667,61,2024-09-18
586,Cam,5,35,94,134,44.6666666667,80,2024-10-04
587,Aundrea,29,92,7,128,42.6666666667,85,2024-06-02
588,Hilario,87,29,2,118,39.3333333333,57,2024-07-23
589,Kath,88,51,34,173,57.6666666667,44,2024-01-28
590,Wini,21,63,11,95,31.6666666667,13,2023-11-07
591,Parnell,71,42,36,149,49.6666666667,41,2023-11-26
592,Arabele,11,67,12,90,30,6,2024-01-10
593,Eugenie,81,46,30,157,52.3333333333,48,2024-04-07
594,Reuven,81,45,61,187,62.3333333333,64,2024-03-02
595,Freddy,12,29,18,59,19.6666666667,21,2024-07-20
596,Berte,2,98,11,111,37,4,2024-03-29
597,Web,66,8,89,163,54.3333333333,100,2023-12-19
598,Dian,89,71,16,176,58.6666666667,30,2023-12-30
599,Charla,23,83,32,138,46,25,2024-02-03
600,Jerome,42,21,57,120,40,50,2024-10-26
601,Misha,73,95,43,211,70.3333333333,46,2024-05-21
602,Edmon,72,17,40,129,43,13,2024-11-05
603,Viviene,41,18,34,93,31,22,2024-07-03
604,Lissie,31,67,22,120,40,58,2024-04-29
605,Rosanna,37,52,3,92,30.6666666667,77,2024-03-21
606,Petra,13,79,43,135,45,70,2023-11-13
607,Deeann,22,86,1,109,36.3333333333,60,2024-04-13
608,Annabella,66,74,11,151,50.3333333333,14,2024-01-19
609,Barnabe,44,52,56,152,50.6666666667,37,2024-03-15
610,Adriana,37,71,54,162,54,40,2024-01-14
611,Adina,41,49,50,140,46.6666666667,36,2024-07-29
612,Olag,80,63,85,228,76,87,2024-09-17
613,Kirstyn,88,43,97,228,76,60,2024-09-24
614,Sigfried,40,62,5,107,35.6666666667,40,2024-01-08
615,Frasco,83,14,77,174,58,92,2024-07-17
616,Eziechiele,6,28,12,46,15.3333333333,24,2024-05-26
617,Demeter,6,86,51,143,47.6666666667,56,2024-08-24
618,Pavel,94,72,8,174,58,41,2024-05-18
619,Catharine,21,8,82,111,37,25,2024-05-05
620,Jakob,89,34,3,126,42,72,2024-10-11
621,Elvera,10,17,43,70,23.3333333333,24,2024-07-05
622,Gradey,28,33,88,149,49.6666666667,18,2024-02-21
623,Kalie,25,34,71,130,43.3333333333,43,2023-12-31
624,Jaymee,68,95,14,177,59,63,2024-08-13
625,Nikos,3,27,41,71,23.6666666667,48,2024-08-10
626,Nanine,23,64,53,140,46.6666666667,30,2024-03-10
627,Margareta,65,85,86,236,78.6666666667,26,2023-11-13
628,Austin,60,19,75,154,51.3333333333,82,2024-02-01
629,Rubi,2,73,43,118,39.3333333333,26,2024-06-03
630,Umberto,42,100,44,186,62,51,2024-05-24
631,Ross,20,26,90,136,45.3333333333,6,2024-07-17
632,Sholom,90,43,2,135,45,34,2024-01-31
633,Beverly,52,90,93,235,78.3333333333,28,2024-04-05
634,Amby,16,4,14,34,11.3333333333,12,2023-12-06
635,Lesley,59,82,37,178,59.3333333333,61,2024-09-09
636,Shepperd,26,45,98,169,56.3333333333,17,2024-11-05
637,Lutero,9,43,11,63,21,9,2024-03-22
638,Johannes,83,99,43,225,75,49,2024-08-28
639,Tedi,33,8,55,96,32,75,2024-07-22
640,Channa,49,18,91,158,52.6666666667,71,2024-03-22
641,Jodi,24,43,96,163,54.3333333333,53,2024-06-23
642,Fayina,36,42,15,93,31,63,2024-04-25
643,Tadeas,70,59,75,204,68,11,2024-02-19
644,Perkin,90,71,83,244,81.3333333333,78,2024-03-16
645,Say,15,22,27,64,21.3333333333,76,2024-10-30
646,Christoper,3,77,19,99,33,16,2024-06-30
647,Caitlin,87,2,10,99,33,94,2024-04-25
648,Nissy,97,30,3,130,43.3333333333,24,2024-04-16
649,Lilyan,45,76,51,172,57.3333333333,88,2024-01-05
650,Morie,7,83,33,123,41,65,2024-05-10
651,Astra,36,4,39,79,26.3333333333,56,2024-01-22
652,Camila,97,61,78,236,78.6666666667,83,2024-04-15
653,Mata,43,15,42,100,33.3333333333,27,2024-03-19
654,Mikkel,61,25,36,122,40.6666666667,51,2024-01-20
655,Trudi,71,87,20,178,59.3333333333,78,2024-02-10
656,Ashia,54,21,71,146,48.6666666667,13,2023-12-31
657,Virgil,1,7,90,98,32.6666666667,64,2024-10-26
658,Kenon,66,45,22,133,44.3333333333,60,2023-11-21
659,Annie,31,38,13,82,27.3333333333,60,2024-01-25
660,Jeniece,79,62,35,176,58.6666666667,89,2024-09-26
661,Ivory,24,97,60,181,60.3333333333,20,2023-12-17
662,Herbie,100,51,12,163,54.3333333333,87,2024-05-12
663,Stormi,56,55,83,194,64.6666666667,77,2024-05-29
664,Wynny,74,82,20,176,58.6666666667,8,2024-04-03
665,Rodrigo,51,26,64,141,47,28,2024-04-01
666,Benny,11,87,92,190,63.3333333333,57,2024-11-02
667,Rhianna,88,94,62,244,81.3333333333,3,2024-08-21
668,Lulita,14,83,69,166,55.3333333333,6,2024-10-02
669,Janeczka,1,29,18,48,16,43,2024-07-31
670,Suzann,35,25,24,84,28,33,2024-10-18
671,Celie,24,50,3,77,25.6666666667,32,2024-05-10
672,Lyn,26,85,57,168,56,21,2024-04-26
673,Brocky,46,32,63,141,47,19,2024-09-08
674,Chicky,51,74,17,142,47.3333333333,78,2024-06-30
675,Hastings,89,85,90,264,88,18,2024-10-24
676,Hendrika,21,52,100,173,57.6666666667,2,2024-02-03
677,Dion,7,29,30,66,22,1,2024-04-10
678,Sonia,65,38,95,198,66,79,2023-11-24
679,Stanford,94,67,43,204,68,23,2024-04-18
680,Bearnard,51,73,71,195,65,28,2024-09-20
681,Sinclare,3,63,68,134,44.6666666667,9,2024-04-05
682,Mathilde,34,61,65,160,53.3333333333,86,2024-04-20
683,Ruy,35,82,31,148,49.3333333333,19,2023-12-02
684,Cornelius,67,89,60,216,72,32,2024-05-16
685,Stanwood,8,9,57,74,24.6666666667,97,2024-02-13
686,Lesli,92,65,14,171,57,62,2024-02-20
687,Vincenty,46,48,9,103,34.3333333333,79,2024-05-06
688,Aindrea,10,4,10,24,8,57,2024-10-25
689,Sephira,12,17,49,78,26,68,2024-06-15
690,Wainwright,80,97,90,267,89,72,2023-12-22
691,Abbie,87,58,84,229,76.3333333333,86,2024-02-27
692,Kakalina,54,20,63,137,45.6666666667,82,2024-05-16
693,Lesley,9,33,67,109,36.3333333333,70,2024-04-09
694,Charin,49,82,66,197,65.6666666667,72,2024-08-09
695,Imojean,64,53,2,119,39.6666666667,65,2024-09-07
696,Imojean,11,46,67,124,41.3333333333,96,2023-11-24
697,Lurleen,6,40,79,125,41.6666666667,21,2024-08-06
698,Martin,50,62,96,208,69.3333333333,95,2024-07-05
699,Deirdre,65,40,5,110,36.6666666667,69,2024-06-03
700,Skyler,50,47,3,100,33.3333333333,58,2024-09-26
701,Shawnee,48,57,79,184,61.3333333333,40,2024-09-24
702,Carolin,56,76,49,181,60.3333333333,54,2024-01-15
703,Paulie,30,60,20,110,36.6666666667,67,2024-06-24
704,Homer,55,30,79,164,54.6666666667,97,2024-01-29
705,Sile,1,89,27,117,39,98,2024-09-29
706,Raff,92,75,13,180,60,36,2024-11-03
707,Dillie,4,29,22,55,18.3333333333,62,2024-10-04
708,Verla,47,71,100,218,72.6666666667,48,2024-05-15
709,Franciskus,34,60,61,155,51.6666666667,53,2024-06-18
710,Fitz,27,48,94,169,56.3333333333,87,2024-02-26
711,Nat,7,44,58,109,36.3333333333,11,2024-03-02
712,Latrina,29,99,13,141,47,2,2024-03-20
713,Leela,43,73,75,191,63.6666666667,69,2024-02-03
714,Werner,70,68,6,144,48,32,2024-02-03
715,Shandy,9,58,23,90,30,37,2024-01-24
716,Maye,40,32,78,150,50,36,2024-02-08
717,Simona,93,82,43,218,72.6666666667,96,2024-01-07
718,Almeria,97,77,30,204,68,59,2024-02-22
719,Vaughn,23,95,44,162,54,35,2024-07-05
720,Pavel,76,58,90,224,74.6666666667,35,2024-08-20
721,Devinne,91,57,5,153,51,74,2024-08-31
722,Kaleena,88,45,70,203,67.6666666667,47,2024-04-21
723,Laetitia,79,61,96,236,78.6666666667,37,2024-04-03
724,Gerrard,85,13,66,164,54.6666666667,31,2024-04-10
725,Cacilie,51,27,3,81,27,22,2024-03-30
726,Waverley,64,30,57,151,50.3333333333,59,2023-11-30
727,Tara,16,5,73,94,31.3333333333,43,2024-03-19
728,Laurene,8,12,14,34,11.3333333333,11,2024-07-06
729,Madeline,55,26,48,129,43,50,2024-07-25
730,Alexina,63,18,11,92,30.6666666667,42,2024-05-15
731,Dulcie,96,60,49,205,68.3333333333,6,2024-08-18
732,Seward,7,48,72,127,42.3333333333,13,2024-07-05
733,Yolande,66,99,81,246,82,61,2024-03-11
734,Ruthi,63,35,84,182,60.6666666667,79,2024-08-10
735,Shoshanna,21,65,71,157,52.3333333333,24,2023-12-14
736,Davida,12,33,67,112,37.3333333333,95,2024-05-08
737,Malinda,38,94,36,168,56,7,2024-08-21
738,Jerrie,48,9,43,100,33.3333333333,49,2024-03-18
739,Janene,8,15,89,112,37.3333333333,63,2024-04-28
740,Wilek,49,36,42,127,42.3333333333,22,2024-04-22
741,Shauna,59,40,25,124,41.3333333333,98,2023-12-08
742,Corina,47,10,69,126,42,31,2024-10-16
743,Frankie,57,18,53,128,42.6666666667,43,2024-10-09
744,June,56,27,29,112,37.3333333333,70,2024-06-28
745,Sherilyn,88,81,89,258,86,82,2024-09-27
746,Russell,91,73,38,202,67.3333333333,42,2023-12-06
747,Em,65,44,4,113,37.6666666667,28,2024-08-15
748,Garrot,87,15,54,156,52,37,2023-11-11
749,Robbin,81,94,99,274,91.3333333333,9,2024-10-08
750,Salomon,37,54,21,112,37.3333333333,23,2024-09-05
751,Dulcia,94,18,57,169,56.3333333333,62,2024-08-24
752,Hilario,85,59,53,197,65.6666666667,2,2024-02-03
753,Nicoline,5,42,30,77,25.6666666667,96,2024-10-30
754,Esme,68,97,56,221,73.6666666667,21,2024-10-18
755,Clarisse,92,18,62,172,57.3333333333,99,2023-12-30
756,Murdock,18,28,50,96,32,70,2024-06-03
757,Cathrine,58,95,79,232,77.3333333333,86,2024-06-20
758,Aloisia,51,100,86,237,79,61,2024-01-08
759,Ermentrude,62,96,45,203,67.6666666667,46,2024-05-19
760,Morgen,90,6,47,143,47.6666666667,46,2024-04-22
761,Devora,96,28,15,139,46.3333333333,10,2023-12-20
762,Toni,25,32,63,120,40,88,2024-11-01
763,Brita,36,99,44,179,59.6666666667,86,2024-04-06
764,Bevvy,66,47,93,206,68.6666666667,43,2024-06-14
765,Gabrila,50,56,13,119,39.6666666667,42,2024-10-07
766,Sollie,1,85,53,139,46.3333333333,51,2023-12-07
767,Bale,31,27,57,115,38.3333333333,13,2024-10-17
768,Floyd,85,76,13,174,58,5,2024-10-05
769,Ronny,29,100,5,134,44.6666666667,29,2024-11-06
770,Dorisa,11,20,15,46,15.3333333333,45,2024-06-10
771,Karlis,33,77,70,180,60,29,2024-08-31
772,Oby,24,51,5,80,26.6666666667,62,2024-01-08
773,Datha,2,68,81,151,50.3333333333,50,2024-10-01
774,Dolores,13,77,7,97,32.3333333333,93,2024-03-03
775,Davey,2,46,88,136,45.3333333333,84,2024-05-12
776,Shelia,41,60,99,200,66.6666666667,44,2024-07-22
777,Tad,21,4,33,58,19.3333333333,39,2024-03-02
778,Naomi,90,36,33,159,53,32,2023-12-14
779,Emmit,65,10,53,128,42.6666666667,85,2024-06-03
780,Maxim,68,12,79,159,53,49,2024-04-02
781,Sheffy,44,35,11,90,30,81,2024-05-17
782,Jonathon,41,92,59,192,64,25,2023-11-25
783,Dayna,2,3,86,91,30.3333333333,86,2024-02-24
784,Timoteo,35,46,33,114,38,21,2024-10-02
785,Rivy,83,96,65,244,81.3333333333,98,2024-03-20
786,Lou,81,2,56,139,46.3333333333,69,2024-08-23
787,Willy,33,75,48,156,52,96,2024-05-23
788,Murdoch,77,82,44,203,67.6666666667,66,2024-06-15
789,Suzie,50,59,70,179,59.6666666667,54,2023-12-03
790,Filmer,52,71,32,155,51.6666666667,17,2024-07-14
791,Haleigh,66,97,59,222,74,88,2024-08-10
792,Lyn,28,27,56,111,37,36,2024-06-06
793,Gordon,52,82,64,198,66,70,2024-04-10
794,Benson,1,46,70,117,39,97,2024-09-07
795,Weidar,7,92,56,155,51.6666666667,53,2024-02-09
796,Joelie,98,44,69,211,70.3333333333,8,2024-04-22
797,Ciel,68,61,42,171,57,21,2024-02-04
798,Guido,19,89,100,208,69.3333333333,33,2023-12-04
799,Othella,29,82,1,112,37.3333333333,68,2024-05-05
800,Meriel,41,83,25,149,49.6666666667,62,2024-05-27
801,Tybi,54,74,14,142,47.3333333333,3,2024-10-30
802,Fleur,66,22,84,172,57.3333333333,75,2024-09-23
803,Avril,97,12,81,190,63.3333333333,65,2024-03-21
804,Aubrey,36,23,38,97,32.3333333333,29,2023-11-09
805,Ruperta,22,7,53,82,27.3333333333,6,2024-07-08
806,Goldy,8,83,71,162,54,19,2024-04-15
807,Nathaniel,79,74,93,246,82,25,2024-07-19
808,Candace,79,13,41,133,44.3333333333,22,2023-11-08
809,Felizio,45,1,65,111,37,36,2024-03-04
810,Gorden,55,63,67,185,61.6666666667,67,2024-01-02
811,Carmelita,54,94,61,209,69.6666666667,45,2024-10-23
812,Panchito,83,94,66,243,81,68,2024-02-21
813,Anastasie,92,43,29,164,54.6666666667,97,2024-05-05
814,Rahel,56,1,94,151,50.3333333333,25,2023-11-12
815,Carlos,98,52,64,214,71.3333333333,24,2024-11-04
816,Lesya,2,99,53,154,51.3333333333,22,2024-10-23
817,Karol,78,64,38,180,60,19,2024-07-24
818,Sonny,45,79,84,208,69.3333333333,96,2024-07-01
819,Emmett,66,77,78,221,73.6666666667,86,2023-11-23
820,Emmeline,78,4,96,178,59.3333333333,20,2023-12-14
821,Talya,15,54,68,137,45.6666666667,72,2024-08-31
822,Vita,31,61,17,109,36.3333333333,36,2024-04-15
823,Giovanni,36,10,46,92,30.6666666667,23,2024-01-10
824,Gerhardt,29,36,12,77,25.6666666667,26,2024-08-11
825,Cullin,36,65,68,169,56.3333333333,66,2024-03-28
826,Orson,18,13,51,82,27.3333333333,41,2024-03-30
827,Nina,2,23,12,37,12.3333333333,84,2024-09-24
828,Brittany,63,66,21,150,50,4,2023-11-21
829,Birch,39,40,84,163,54.3333333333,90,2024-05-16
830,Nikola,31,47,79,157,52.3333333333,4,2024-04-27
831,Franklyn,81,94,41,216,72,21,2023-11-15
832,Shelley,28,39,48,115,38.3333333333,36,2024-06-23
833,Pepe,11,65,69,145,48.3333333333,6,2024-01-12
834,Clarence,33,40,25,98,32.6666666667,99,2024-05-04
835,Saraann,15,59,80,154,51.3333333333,55,2024-02-28
836,Gertrude,89,27,54,170,56.6666666667,69,2023-11-24
837,Hersch,5,77,48,130,43.3333333333,35,2024-06-26
838,Cinda,12,66,89,167,55.6666666667,83,2024-09-10
839,Alexa,92,25,50,167,55.6666666667,34,2024-04-04
840,Elysia,33,45,100,178,59.3333333333,5,2024-05-17
841,Hali,42,82,52,176,58.6666666667,13,2024-02-18
842,Virgie,7,77,83,167,55.6666666667,49,2024-09-10
843,Katina,68,49,70,187,62.3333333333,37,2024-07-29
844,Kristoffer,87,39,48,174,58,37,2024-08-15
845,Samuel,45,42,69,156,52,79,2024-07-23
846,Kellen,13,94,33,140,46.6666666667,58,2024-10-17
847,Karalynn,38,29,34,101,33.6666666667,7,2024-04-26
848,Noemi,30,35,99,164,54.6666666667,31,2024-05-23
849,Christi,70,84,13,167,55.6666666667,8,2024-02-22
850,Claudia,69,61,68,198,66,67,2024-08-17
851,Celle,52,57,5,114,38,42,2024-08-11
852,Woodrow,16,33,43,92,30.6666666667,9,2023-11-19
853,Cass,22,23,97,142,47.3333333333,23,2024-10-28
854,Rennie,90,56,26,172,57.3333333333,3,2024-01-31
855,Shanda,18,78,29,125,41.6666666667,81,2024-04-29
856,Marybeth,1,21,33,55,18.3333333333,24,2024-06-05
857,Hastie,53,10,89,152,50.6666666667,5,2023-11-19
858,Elora,14,58,25,97,32.3333333333,37,2024-02-15
859,Manon,77,94,84,255,85,33,2024-06-15
860,Yuri,17,90,25,132,44,13,2024-07-12
861,Beaufort,49,90,80,219,73,64,2023-11-30
862,Stefanie,65,11,77,153,51,74,2024-07-31
863,Alejandro,45,79,61,185,61.6666666667,40,2024-09-04
864,Ardisj,50,29,88,167,55.6666666667,97,2023-12-11
865,Curtis,61,2,80,143,47.6666666667,84,2024-02-22
866,Kristy,85,59,37,181,60.3333333333,67,2024-08-30
867,Madelaine,49,9,19,77,25.6666666667,64,2024-01-15
868,Terra,53,40,35,128,42.6666666667,44,2024-04-16
869,Hamlin,89,41,15,145,48.3333333333,64,2024-10-15
870,Arlena,97,10,60,167,55.6666666667,85,2024-04-24
871,Shari,7,85,14,106,35.3333333333,73,2024-02-10
872,Bertina,30,100,18,148,49.3333333333,26,2024-03-21
873,Elnora,53,23,99,175,58.3333333333,78,2024-04-23
874,Nikolaos,6,4,89,99,33,83,2024-05-07
875,Chet,71,25,89,185,61.6666666667,18,2024-01-20
876,Melisse,72,96,8,176,58.6666666667,17,2024-01-07
877,Robby,41,63,11,115,38.3333333333,8,2024-04-28
878,Fay,2,51,7,60,20,3,2024-05-16
879,Norrie,7,90,48,145,48.3333333333,3,2024-11-03
880,Willey,72,88,85,245,81.6666666667,66,2024-03-31
881,Mayer,84,25,20,129,43,13,2024-04-29
882,Jack,37,60,2,99,33,29,2024-01-19
883,Raina,54,50,18,122,40.6666666667,4,2024-02-20
884,Bald,43,73,32,148,49.3333333333,62,2023-11-23
885,Wilbert,73,85,24,182,60.6666666667,87,2024-01-30
886,Cathleen,34,35,33,102,34,9,2023-12-30
887,Thaine,98,27,39,164,54.6666666667,31,2024-02-07
888,Lawton,96,15,19,130,43.3333333333,63,2023-11-08
889,Maia,57,79,99,235,78.3333333333,15,2024-04-05
890,Marena,72,26,99,197,65.6666666667,94,2024-04-13
891,Millie,47,43,46,136,45.3333333333,66,2024-04-07
892,Doro,91,28,70,189,63,56,2024-04-22
893,Bernardina,97,28,38,163,54.3333333333,84,2023-11-14
894,Tadeas,85,54,24,163,54.3333333333,76,2024-09-16
895,Martino,42,72,41,155,51.6666666667,49,2023-11-29
896,Damian,56,56,45,157,52.3333333333,84,2023-11-20
897,Kamillah,70,95,71,236,78.6666666667,92,2023-12-21
898,Jolynn,84,42,67,193,64.3333333333,90,2024-10-25
899,Fax,34,8,36,78,26,6,2024-06-09
900,Vivi,19,7,86,112,37.3333333333,57,2023-12-13
901,Rianon,78,7,47,132,44,3,2024-04-11
902,Jemimah,14,47,31,92,30.6666666667,19,2023-12-03
903,Tanny,14,88,67,169,56.3333333333,11,2024-01-20
904,Jaymee,6,84,38,128,42.6666666667,23,2024-10-15
905,Laural,22,31,2,55,18.3333333333,65,2023-11-13
906,Benedetto,37,37,8,82,27.3333333333,30,2024-04-05
907,Lyndell,98,19,52,169,56.3333333333,61,2024-08-02
908,Tilly,83,80,71,234,78,1,2023-11-07
909,Nicolas,66,34,89,189,63,81,2024-04-13
910,Carly,40,6,64,110,36.6666666667,80,2024-02-06
911,Elna,30,24,67,121,40.3333333333,56,2024-10-23
912,Isac,51,93,20,164,54.6666666667,51,2023-11-09
913,Erinna,41,12,84,137,45.6666666667,6,2023-12-11
914,Dominik,27,28,3,58,19.3333333333,39,2023-12-31
915,Dania,17,61,6,84,28,98,2023-11-10
916,Cinda,90,100,29,219,73,45,2024-10-26
917,Abbi,40,32,19,91,30.3333333333,84,2024-06-14
918,Temp,13,40,35,88,29.3333333333,50,2024-03-23
919,Aluin,39,38,80,157,52.3333333333,50,2024-03-19
920,Erinn,91,6,34,131,43.6666666667,76,2024-01-13
921,Mickie,19,72,5,96,32,75,2024-06-03
922,Elmer,5,22,54,81,27,53,2024-04-07
923,Vladamir,96,69,26,191,63.6666666667,6,2023-11-19
924,Shelly,49,11,58,118,39.3333333333,18,2024-06-01
925,Virgie,16,26,78,120,40,42,2024-04-16
926,Paulina,40,16,95,151,50.3333333333,17,2024-08-14
927,Rina,58,36,37,131,43.6666666667,74,2024-06-01
928,Grethel,81,56,40,177,59,64,2024-06-01
929,Ezri,85,49,35,169,56.3333333333,64,2024-07-02
930,Kerwin,38,23,40,101,33.6666666667,18,2023-12-29
931,Jolynn,88,90,100,278,92.6666666667,73,2023-11-23
932,Thekla,69,8,53,130,43.3333333333,15,2024-02-03
933,Norah,9,94,15,118,39.3333333333,77,2024-10-02
934,Hieronymus,62,90,99,251,83.6666666667,76,2024-07-28
935,Northrop,93,16,75,184,61.3333333333,11,2024-10-14
936,Amery,70,18,4,92,30.6666666667,27,2024-10-07
937,Angie,52,54,62,168,56,40,2024-09-04
938,Dwayne,57,64,96,217,72.3333333333,29,2023-12-27
939,Cordelia,32,61,5,98,32.6666666667,66,2024-03-31
940,Slade,27,100,38,165,55,87,2023-11-30
941,Genni,30,5,47,82,27.3333333333,24,2024-09-06
942,Wake,98,48,93,239,79.6666666667,82,2024-10-12
943,Tallia,30,18,66,114,38,77,2024-10-19
944,Jobye,74,25,63,162,54,45,2024-04-17
945,Bear,85,24,94,203,67.6666666667,75,2024-03-08
946,Inez,95,18,88,201,67,91,2024-05-28
947,Marthena,93,43,13,149,49.6666666667,89,2024-08-30
948,Amye,71,57,52,180,60,46,2023-11-23
